OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
"1","2007",CA,CCO,LAC,OCTOBER,"00246393",2007/10/21 00:00:00,2007/10/23 00:00:00,"14",,,25.7367134094238,"8","1","00233414",1902.4390512932,104152.781054466
"2","2007",CA,CCO,LAC,MAGIC,"00233077",2007/10/22 00:00:00,2007/10/25 00:00:00,"14",,,2824.87719726562,"8","1","00233077",20407.9656622567,11431872.5100921
"3","2007",CA,USF,ANF,RANCH,"00000166",2007/10/20 00:00:00,2007/11/15 00:00:00,"2",,54716,58410.3359375,"7","1","00000166",169150.715690138,236378245.16902
"4","2007",CA,CCO,LAC,EMMA,"00201384",2007/09/11 00:00:00,2007/09/11 00:00:00,"14",,,172.214950561523,"8","1","00201384",6117.77708615572,696929.169753288
"5","2007",CA,CCO,LAC,CORRAL,"00259483",2007/11/24 00:00:00,2007/11/27 00:00:00,"14",,,4707.9970703125,"8","1","00259483",22907.1821739912,19052588.5082272
"6","2007",CA,CCO,LAC,GORMAN,"00109398",2007/05/19 00:00:00,2007/05/22 00:00:00,"14",,,2373.84497070312,"8","1","00109398",19693.2088221895,9606609.35199816
"7","2007",CA,CCO,LAC,WEST,"00148311",2007/07/07 00:00:00,2007/07/08 00:00:00,"14",,,245.233963012695,"8","1","00148311",5881.59045421812,992426.638872278
"8","2007",CA,CCO,LAC,PEARBLOSSOM,"00177427",2007/08/13 00:00:00,2007/08/14 00:00:00,"14",,,81.0335006713867,"8","1","00177427",4123.60776066209,327930.933578308
"9","2007",CA,CCO,LAC,SKYLINE,"00183643",2007/08/21 00:00:00,2007/08/23 00:00:00,"14",,,95.4185562133789,"8","1","00183643",3590.08716263554,386145.195977632
"10","2007",CA,CCO,LAC,SESNON,"00231876",2007/10/21 00:00:00,2007/10/21 00:00:00,"14",,,30.3014183044434,"8","1","00231876",1675.72825031691,122625.490133596
"11","2007",CA,CCO,LAC,SOLEDAD,"00233414",2007/10/22 00:00:00,2007/10/23 00:00:00,"14",,,44.1677703857422,"8","1","00233414",2054.3523122711,178740.620699354
"12","2007",CA,CCO,LAC,Y,"00233912",2007/10/23 00:00:00,,"14",,,22.4917297363281,,"1","00233912",1661.0259250996,91020.7999436423
"13","2007",CA,CDF,MVU,ANGEL 3,"00009233",2007/09/15 00:00:00,2007/09/25 00:00:00,"4", ,837,832.126525878906,"7","1","00000000",17923.8461798703,3367496.61342472
"14","2007",CA,CDF,MVU,BANNER,"00006310",2007/07/01 00:00:00,2007/07/03 00:00:00,"14",,,95.1512603759766,"7","1","00000000",3492.89109333815,385063.478906282
"15","2007",CA,CDF,HUU,CHAMBERS,"00003235",2007/07/27 00:00:00,2007/07/29 00:00:00,"7",,55,54.6963577270508,"2","1","00000000",3032.16069290071,221348.302921848
"16","2007",CA,CDF,HUU,BROWN,"00002877",2007/07/08 00:00:00,2007/07/08 00:00:00,"2",,20,18.7317733764648,"2","1","00000000",1469.31244722598,75804.7998026628
"17","2007",CA,CDF,HUU,DRIFTWOOD,"00004908",2007/10/25 00:00:00,2007/11/05 00:00:00,"14",,70,52.9729537963867,"1","1","00000000",4353.27129529316,214373.935629802
"18","2007",CA,CDF,HUU,CAPPEL,"00004049",2007/09/05 00:00:00,2007/09/11 00:00:00,"14",,20,12.8941459655762,"1","1","00000000",1604.37552847899,52180.757491473
"19","2007",CA,CCO,KRN,MOUNTAIN,"00717959",2007/07/19 00:00:00,2007/07/19 00:00:00,"14",,840.56,840.558288574219,"1","1","00717959",10229.1152259677,3401618.78078835
"20","2007",CA,CCO,KRN,WHITE,"00018055",2007/06/24 00:00:00,2007/06/29 00:00:00,"2",,12432.15,12432.16015625,"7","1","00718055",42225.3116657647,50311168.4686577
"21","2007",CA,USF,KRN,WOFFORD,"00000000",2007/05/09 00:00:00,2007/05/13 00:00:00,"9", ,567,567.456604003906,"2","1","0713610",7154.99834958985,2296415.40117854
