OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,Shape_Length,Shape_Area
"1","2017",CA,CDF,BEU,"7515",LAMACCHIA NORTH VMP- NOVEMBER 17,,2017/11/07 00:00:00,2017/11/21 00:00:00,137,137.596954345703,,,,3534.46970304618,556835.137218896
"2","2017",CA,CDF,LNU,"7044",UNIT 3,,2017/06/30 00:00:00,2017/06/30 00:00:00,22,22.4796695709229,,,,1547.18467672095,90971.9957584367
"3","2017",CA,CDF,TCU,"6682",WINVMP-5-BROADCAST BURN,"3",2017/05/25 00:00:00,2017/05/25 00:00:00,33,98.4070434570312,,,,2951.68624275026,398239.166721609
"4","2017",CA,CDF,TUU,"6741",HERBERT BURN,"7",2017/06/06 00:00:00,2017/06/06 00:00:00,223,222.59423828125,,,,7759.56297164119,900806.935940808
"5","2017",CA,CDF,RRU,"6547",COLORADO NORTH 2017,,2017/05/25 00:00:00,2017/05/25 00:00:00,152,152.428375244141,,,,4474.73826147788,616855.721089918
"6","2017",CA,CDF,SLU,"7824",BURN PLOT 3,,2017/11/13 00:00:00,2017/11/13 00:00:00,14,14.2528629302979,,,,1284.94278968345,57679.2885634963
"7","2017",CA,CDF,TCU,"6721",SARBB-JANUARY-2017,,2017/01/01 00:00:00,2017/01/31 00:00:00,64,63.6991958618164,,,,3690.55504960229,257781.494665368
"8","2017",CA,CDF,SCU,"6889",VALLEY BURN JUNE 2017,"7",2017/06/28 00:00:00,2017/06/29 00:00:00,17.10000038,16.3270225524902,,,,1586.07616138159,66072.8315462292
"9","2017",CA,CDF,FKU,"7293",2017 BROADCAST BURN,"3",2017/10/06 00:00:00,2017/10/07 00:00:00,26,38.9258232116699,,,,2899.13152284909,157527.215509019
"10","2017",CA,CDF,SLU,"7822",BURN PLOT 1,,2017/10/31 00:00:00,2017/10/31 00:00:00,11,11.1425619125366,,,,1006.71590105133,45092.3481925394
"11","2017",CA,CDF,SLU,"7461",VIERRA #2,,2017/11/08 00:00:00,2017/11/08 00:00:00,21.95999908,21.9557151794434,,,,1550.7732028621,88851.6268545506
"12","2017",CA,CDF,SLU,"7982",MOLINARI,,2018/02/13 00:00:00,2018/02/13 00:00:00,119,119.082847595215,,,,2870.43734254157,481911.180571761
"13","2017",CA,CDF,CZU,"8060",UCSC BROADCAST BURN NMC,"3",2018/02/14 00:00:00,2018/02/14 00:00:00,12.2,12.2145957946777,,,,1672.2859704405,49430.5970768803
"14","2017",CA,CDF,CZU,"6564",2017 VMP BROADCAST BURN,"3",2017/05/31 00:00:00,2017/05/31 00:00:00,8.89999962,8.89960098266602,,,,1100.42440862611,36015.4078637867
"15","2017",CA,CDF,HUU,"7285",20170927_JONESBEACH,,2017/09/27 00:00:00,2017/09/27 00:00:00,101,95.9036712646484,,,,3354.71819549421,385925.154679116
"16","2017",CA,CDF,VNC,"6649",RX BURN,"3",2017/05/30 00:00:00,2017/05/31 00:00:00,110,103.153121948242,,,,3050.00584376996,417445.880513703
